연도,소한,대한,입춘,우수,경칩,춘분,청명,곡우,입하,소만,망종,하지,소서,대서,입추,처서,백로,추분,한로,상강,입동,소설,대설,동지
1900,1월 6일,1월 20일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 8일,7월 23일,8월 8일,8월 24일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
1901,1월 6일,1월 21일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 23일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 22일
1902,1월 6일,1월 21일,2월 5일,2월 19일,3월 6일,3월 21일,4월 6일,4월 21일,5월 6일,5월 22일,6월 7일,6월 22일,7월 8일,7월 24일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 23일
1903,1월 6일,1월 21일,2월 5일,2월 20일,3월 7일,3월 22일,4월 6일,4월 21일,5월 7일,5월 22일,6월 7일,6월 23일,7월 8일,7월 24일,8월 9일,8월 24일,9월 9일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 23일
1904,1월 7일,1월 21일,2월 5일,2월 20일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
1905,1월 6일,1월 21일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 23일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 22일
1906,1월 6일,1월 21일,2월 5일,2월 19일,3월 6일,3월 21일,4월 6일,4월 21일,5월 6일,5월 22일,6월 7일,6월 22일,7월 8일,7월 24일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 23일
1907,1월 6일,1월 21일,2월 5일,2월 20일,3월 7일,3월 22일,4월 6일,4월 21일,5월 7일,5월 22일,6월 7일,6월 22일,7월 8일,7월 24일,8월 9일,8월 24일,9월 9일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 23일
1908,1월 7일,1월 21일,2월 5일,2월 20일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
1909,1월 6일,1월 21일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 23일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 22일
1910,1월 6일,1월 21일,2월 5일,2월 19일,3월 6일,3월 21일,4월 6일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 24일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 23일
1911,1월 6일,1월 21일,2월 5일,2월 20일,3월 7일,3월 22일,4월 6일,4월 21일,5월 7일,5월 22일,6월 7일,6월 22일,7월 8일,7월 24일,8월 9일,8월 24일,9월 9일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 23일
1912,1월 7일,1월 21일,2월 5일,2월 20일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 23일,12월 7일,12월 22일
1913,1월 6일,1월 21일,2월 4일,2월 19일,3월 6일,3월 21일,4월 5일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 23일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 22일
1914,1월 6일,1월 21일,2월 5일,2월 19일,3월 6일,3월 21일,4월 6일,4월 21일,5월 6일,5월 22일,6월 6일,6월 22일,7월 8일,7월 24일,8월 8일,8월 24일,9월 8일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 23일
1915,1월 6일,1월 21일,2월 5일,2월 20일,3월 7일,3월 22일,4월 6일,4월 21일,5월 7일,5월 22일,6월 7일,6월 22일,7월 8일,7월 24일,8월 9일,8월 24일,9월 9일,9월 24일,10월 9일,10월 24일,11월 8일,11월 23일,12월 8일,12월 23일
1916,1월 7일,1월 21일,2월 5일,2월 20일,3월 6일,3월 21일,4월 5일,4월 20일,5월 6일,5월 21일,6월 6일,6월 22일,7월 7일,7월 23일,8월 8일,8월 23일,9월 8일,9월 23일,10월 9일,10월 24일,11월 8일,11월 22일,12월 7일,12월 22일
